<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,1,20180904,10:36:00,227.8800000,227.8800000,227.7100000,227.7800000,3370
US2.AAPL,1,20180904,10:37:00,227.7700000,227.8500000,227.6200000,227.6200000,4059
US2.AAPL,1,20180904,10:38:00,227.6700000,227.7300000,227.5900000,227.7100000,4115
US2.AAPL,1,20180904,10:39:00,227.7200000,227.7400000,227.6700000,227.7400000,3247
US2.AAPL,1,20180904,10:40:00,227.7200000,227.8500000,227.6400000,227.8400000,5488
US2.AAPL,1,20180904,10:41:00,227.8000000,227.9000000,227.7600000,227.9000000,3963
US2.AAPL,1,20180904,10:42:00,227.8700000,227.9900000,227.8500000,227.9600000,6900
US2.AAPL,1,20180904,10:43:00,227.9500000,228.0800000,227.9400000,228.0500000,9676
US2.AAPL,1,20180904,10:44:00,228.0400000,228.0800000,227.9600000,228.0300000,4200
US2.AAPL,1,20180904,10:45:00,228.0100000,228.0100000,227.9200000,227.9500000,5200
US2.AAPL,1,20180904,10:46:00,227.9200000,227.9200000,227.7700000,227.8400000,4100
US2.AAPL,1,20180904,10:47:00,227.8500000,228.1300000,227.8100000,228.1200000,5900
US2.AAPL,1,20180904,10:48:00,228.0900000,228.1900000,228.0200000,228.0400000,4300
US2.AAPL,1,20180904,10:49:00,228.0500000,228.2800000,228.0500000,228.2500000,7339
US2.AAPL,1,20180904,10:50:00,228.2300000,228.5600000,228.2200000,228.5200000,12129
US2.AAPL,1,20180904,10:51:00,228.5300000,228.5700000,228.4800000,228.5400000,20644
US2.AAPL,1,20180904,10:52:00,228.5400000,228.7500000,228.5400000,228.7200000,6137
US2.AAPL,1,20180904,10:53:00,228.6600000,228.6800000,228.5700000,228.5700000,2900
US2.AAPL,1,20180904,10:54:00,228.5500000,228.5800000,228.4700000,228.5800000,5274
US2.AAPL,1,20180904,10:55:00,228.5700000,228.6400000,228.5300000,228.6400000,3300
US2.AAPL,1,20180904,10:56:00,228.6300000,228.6900000,228.6200000,228.6300000,5000
US2.AAPL,1,20180904,10:57:00,228.6200000,228.6500000,228.5500000,228.5900000,4757
US2.AAPL,1,20180904,10:58:00,228.5900000,228.6800000,228.5900000,228.6500000,3747
US2.AAPL,1,20180904,10:59:00,228.6700000,228.6700000,228.5600000,228.5600000,3259
US2.AAPL,1,20180904,11:00:00,228.5700000,228.6550000,228.4900000,228.5000000,5000
US2.AAPL,1,20180904,11:01:00,228.5100000,228.5100000,228.2100000,228.2400000,8419
US2.AAPL,1,20180904,11:02:00,228.2600000,228.3500000,228.2600000,228.3200000,2400
US2.AAPL,1,20180904,11:03:00,228.3700000,228.4700000,228.3500000,228.4700000,3500
US2.AAPL,1,20180904,11:04:00,228.4900000,228.4900000,228.3600000,228.3800000,1500
US2.AAPL,1,20180904,11:05:00,228.4100000,228.4500000,228.3600000,228.3600000,1800
US2.AAPL,1,20180904,11:06:00,228.3500000,228.4600000,228.3500000,228.4600000,2900
US2.AAPL,1,20180904,11:07:00,228.4600000,228.5400000,228.4400000,228.4800000,6117
US2.AAPL,1,20180904,11:08:00,228.4600000,228.5400000,228.3900000,228.5400000,4309
US2.AAPL,1,20180904,11:09:00,228.5300000,228.6600000,228.5300000,228.6000000,5371
US2.AAPL,1,20180904,11:10:00,228.6200000,228.8100000,228.6200000,228.8000000,6611
US2.AAPL,1,20180904,11:11:00,228.8100000,228.9000000,228.7900000,228.9000000,7500
